SpeciesName,x,y,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
Bacteroides_sp_OM08_11,14.057486,4.1579804,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp_OM08_11
Butyribacterium_methylotrophicum,9.629859,0.9204964,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Butyribacterium methylotrophicum
Lactobacillus_iners,10.197639,11.227059,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners
Proteus_penneri,9.4024725,9.444761,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,Proteus penneri
Holdemania_sp_AP2,12.173911,7.7565274,Bacteria,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Holdemania sp_AP2
Escherichia_phage_HK639,-6.523243,3.0927172,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Unknown,Escherichia phage_HK639
Haemophilus_influenzae,6.771982,9.742198,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae
Roseburia_faecis,13.022565,9.168413,Bacteria,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia faecis
Actinomyces_sp_oral_taxon_414,12.251626,7.081388,Bacteria,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp_oral_taxon_414
Ruminococcus_torques,11.989565,9.951516,Bacteria,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Mediterraneibacter,Ruminococcus torques
Corynebacterium_tuberculostearicum,13.395124,8.449319,Bacteria,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium tuberculostearicum
Cronobacter_phage_ENT47670,-6.1937337,3.8475282,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Unknown,Cronobacter phage_ENT47670
Ruminococcus_sp_CAG_579,8.338854,2.6139302,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus sp_CAG_579
Bacteroides_sp_4_3_47FAA,13.593428,3.9404352,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp_4_3_47FAA
Weissella_phage_phiYS61,-6.7078257,3.1077986,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Unknown,Weissella phage_phiYS61
Staphylococcus_aureus,5.8782945,6.0548887,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
Escherichia_virus_IME08,-5.510281,4.556189,Viruses,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Dhakavirus,Escherichia virus_IME08
Bacteroidales_bacterium_ph8,12.704885,3.3176365,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Unknown,Bacteroidales,Bacteroidales bacterium_ph8
Lactobacillus_phage_phiadh,-6.225458,3.5589073,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Unknown,Lactobacillus phage_phiadh
Leuconostoc_mesenteroides,9.934842,10.228185,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides
Eisenbergiella_tayi,12.436573,9.473228,Bacteria,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella,Eisenbergiella tayi
Marvinbryantia_formatexigens,13.148703,8.594017,Bacteria,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens
Eubacterium_nodatum,8.97294,3.1850808,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriales_Family_XIII_Incertae_Sedis,Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,Eubacterium nodatum
Lachnospiraceae_bacterium_2_1_58FAA,12.277752,8.700583,Bacteria,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_unclassified,Lachnospiraceae bacterium_2_1_58FAA
Blautia_sp_N6H1_15,9.304312,9.997813,Bacteria,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia sp_N6H1_15
Paeniclostridium_sordellii,12.85481,5.397291,Bacteria,Bacteria,Firmicutes,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Paeniclostridium,Paeniclostridium sordellii
Eubacterium_coprostanoligenes,6.8873158,1.079722,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium coprostanoligenes
Tannerella_sp_oral_taxon_HOT_286,13.316549,2.5037336,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Tannerella sp_oral_taxon_HOT_286
