sample_accession	secondary_sample_accession	study_accession	sample_title	description	first_public	last_updated	center_name	country	host_body_site	host_status	disease	host	host_scientific_name	project_name	collection_date
SAMEA104142459	ERS1801477	PRJEB103280;PRJEB21528	ZSL510	ZSL510	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142469	ERS1801487	PRJEB103280;PRJEB21528	ZSL529	ZSL529	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142444	ERS1801462	PRJEB31567;PRJEB21528	ZSL488	ZSL488	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142448	ERS1801466	PRJEB31567;PRJEB21528	N1308	N1308	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142456	ERS1801474	PRJEB31567;PRJEB21528	ZSL497	ZSL497	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142462	ERS1801480	PRJEB103280;PRJEB21528	ZSL512	ZSL512	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142464	ERS1801482	PRJEB31567;PRJEB21528	ZSL517	ZSL517	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142474	ERS1801492	PRJEB103280;PRJEB21528	ZSL496	ZSL496	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104335941	ERS1960919	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335943	ERS1960921	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335945	ERS1960923	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335946	ERS1960924	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335947	ERS1960925	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335948	ERS1960926	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335951	ERS1960929	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335955	ERS1960933	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335957	ERS1960935	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104142445	ERS1801463	PRJEB103280;PRJEB21528	ZSL490	ZSL490	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142452	ERS1801470	PRJEB103280;PRJEB21528	N1284	N1284	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142458	ERS1801476	PRJEB103280;PRJEB21528	ZSL505	ZSL505	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142463	ERS1801481	PRJEB103280;PRJEB21528	ZSL516	ZSL516	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142465	ERS1801483	PRJEB103280;PRJEB21528	ZSL520	ZSL520	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142470	ERS1801488	PRJEB103280;PRJEB21528	ZSL530	ZSL530	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142471	ERS1801489	PRJEB103280;PRJEB21528	ZSL532	ZSL532	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142455	ERS1801473	PRJEB103280;PRJEB21528	ZSL495	ZSL495	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142475	ERS1801493	PRJEB31567;PRJEB21528	ZSL431	ZSL431	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104335954	ERS1960932	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104142476	ERS1801494	PRJEB103280;PRJEB21528	ZSL432	ZSL432	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104335942	ERS1960920	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104142446	ERS1801464	PRJEB103280;PRJEB21528	ZSL492	ZSL492	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104335952	ERS1960930	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104142447	ERS1801465	PRJEB103280;PRJEB21528	ZSL503	ZSL503	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142457	ERS1801475	PRJEB103280;PRJEB21528	ZSL501	ZSL501	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104335953	ERS1960931	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104142460	ERS1801478	PRJEB103280;PRJEB21528	ZSL515	ZSL515	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104335956	ERS1960934	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104142461	ERS1801479	PRJEB103280;PRJEB21528	ZSL506	ZSL506	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142468	ERS1801486	PRJEB103280;PRJEB21528	ZSL527	ZSL527	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142466	ERS1801484	PRJEB103280;PRJEB21528	ZSL524	ZSL524	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142467	ERS1801485	PRJEB103280;PRJEB21528	ZSL525	ZSL525	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142472	ERS1801490	PRJEB103280;PRJEB21528	N1264	N1264	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104142473	ERS1801491	PRJEB31567;PRJEB21528	ZSL444	ZSL444	2017-08-25	2017-06-26	BGI	China						Acvd	2013
SAMEA104335944	ERS1960922	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335949	ERS1960927	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335950	ERS1960928	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335961	ERS1960939	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335962	ERS1960940	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335964	ERS1960942	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
SAMEA104335958	ERS1960936	PRJEB103248;PRJEB22893	Understanding the gut microbiome in melanoma patients	Understanding the gut microbiome in melanoma patients	2017-11-06	2017-10-03	MD ANDERSON CANCER CENTER	USA						Understanding the gut microbiome in melanoma patients - WGS	2015
