sample_accession	secondary_sample_accession	study_accession	sample_title	description	first_public	last_updated	center_name	country	host_body_site	host_status	disease	host	host_scientific_name	project_name	collection_date
SAMD00114723		PRJEB103715;PRJDB4176	human feces_10236	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114732		PRJEB98859;PRJDB4176	human feces_10323	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114744		PRJEB103715;PRJDB4176	human feces_10126	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114750		PRJEB103715;PRJDB4176	human feces_10284	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114762		PRJEB98859;PRJDB4176	human feces_10177	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114766		PRJEB98859;PRJDB4176	human feces_10199	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114776		PRJEB103715;PRJDB4176	human feces_10308	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114777		PRJEB98859;PRJDB4176	human feces_10309	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114786		PRJEB103715;PRJDB4176	human feces_10358	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114788		PRJEB98859;PRJDB4176	human feces_10338	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114790		PRJEB103715;PRJDB4176	human feces_10345	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114793		PRJEB103715;PRJDB4176	human feces_10248	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114794		PRJEB98859;PRJDB4176	human feces_10249	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114808		PRJEB98859;PRJDB4176	human feces_10464	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114814		PRJEB98859;PRJDB4176	human feces_10480	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114816		PRJEB103715;PRJDB4176	human feces_10389	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114817		PRJEB103715;PRJDB4176	human feces_10514	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114822		PRJEB98859;PRJDB4176	human feces_10492	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114823		PRJEB103715;PRJDB4176	human feces_10503	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114726		PRJEB103715;PRJDB4176	human feces_10330	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114738		PRJEB98859;PRJDB4176	human feces_10119	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114749		PRJEB98859;PRJDB4176	human feces_10277	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114754		PRJEB103715;PRJDB4176	human feces_10267	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114759		PRJEB98859;PRJDB4176	human feces_10165	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114774		PRJEB103715;PRJDB4176	human feces_10306	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114775		PRJEB103715;PRJDB4176	human feces_10307	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114797		PRJEB103715;PRJDB4176	human feces_10260	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114810		PRJEB98859;PRJDB4176	human feces_10468	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114728		PRJEB98859;PRJDB4176	human feces_10333	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114729		PRJEB103715;PRJDB4176	human feces_10334	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114733		PRJEB103715;PRJDB4176	human feces_10324	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114739		PRJEB98859;PRJDB4176	human feces_10124	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114740		PRJEB98859;PRJDB4176	human feces_10147	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114742		PRJEB103715;PRJDB4176	human feces_10152	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114743		PRJEB98859;PRJDB4176	human feces_10154	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114746		PRJEB103715;PRJDB4176	human feces_10134	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114748		PRJEB103715;PRJDB4176	human feces_10140	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114764		PRJEB98859;PRJDB4176	human feces_10185	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114768		PRJEB103715;PRJDB4176	human feces_10203	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114772		PRJEB98859;PRJDB4176	human feces_10213	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114799		PRJEB98859;PRJDB4176	human feces_10265	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114804		PRJEB103715;PRJDB4176	human feces_10459	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114806		PRJEB103715;PRJDB4176	human feces_10462	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114811		PRJEB103715;PRJDB4176	human feces_10469	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114835		PRJEB98859;PRJDB4176	human feces_10523	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114844		PRJEB98859;PRJDB4176	human feces_10542	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114856		PRJEB98859;PRJDB4176	human feces_10609	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114868		PRJEB98859;PRJDB4176	human feces_10584	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114878		PRJEB98859;PRJDB4176	human feces_10674	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114883		PRJEB98859;PRJDB4176	human feces_10812	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114891		PRJEB103715;PRJDB4176	human feces_10635	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114903		PRJEB103715;PRJDB4176	human feces_10816	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114916		PRJEB98859;PRJDB4176	human feces_10762	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114933		PRJEB98859;PRJDB4176	human feces_10665	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114934		PRJEB103715;PRJDB4176	human feces_10675	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114939		PRJEB103715;PRJDB4176	human feces_10644	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114941		PRJEB103715;PRJDB4176	human feces_10667	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114948		PRJEB98859;PRJDB4176	human feces_10767	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114949		PRJEB98859;PRJDB4176	human feces_10715	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114836		PRJEB103715;PRJDB4176	human feces_10525	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114841		PRJEB98859;PRJDB4176	human feces_10532	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114846		PRJEB98859;PRJDB4176	human feces_10545	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114857		PRJEB98859;PRJDB4176	human feces_10505	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114870		PRJEB103715;PRJDB4176	human feces_10615	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114875		PRJEB98859;PRJDB4176	human feces_10648	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114877		PRJEB98859;PRJDB4176	human feces_10671	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114879		PRJEB98859;PRJDB4176	human feces_10775	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114894		PRJEB103715;PRJDB4176	human feces_10660	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114897		PRJEB103715;PRJDB4176	human feces_10670	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114902		PRJEB103715;PRJDB4176	human feces_10814	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114909		PRJEB103715;PRJDB4176	human feces_10709	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114911		PRJEB103715;PRJDB4176	human feces_10718	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114917		PRJEB98859;PRJDB4176	human feces_10765	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114919		PRJEB98859;PRJDB4176	human feces_10713	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114921		PRJEB98859;PRJDB4176	human feces_10720	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114924		PRJEB103715;PRJDB4176	human feces_10745	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114927		PRJEB103715;PRJDB4176	human feces_10628	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114943		PRJEB103715;PRJDB4176	human feces_10697	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114944		PRJEB98859;PRJDB4176	human feces_10700	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114848		PRJEB98859;PRJDB4176	human feces_10550	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114852		PRJEB103715;PRJDB4176	human feces_10576	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114886		PRJEB103715;PRJDB4176	human feces_10853	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114896		PRJEB98859;PRJDB4176	human feces_10668	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114905		PRJEB103715;PRJDB4176	human feces_10827	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114907		PRJEB98859;PRJDB4176	human feces_10839	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114910		PRJEB103715;PRJDB4176	human feces_10717	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114914		PRJEB103715;PRJDB4176	human feces_10749	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114922		PRJEB98859;PRJDB4176	human feces_10722	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114925		PRJEB98859;PRJDB4176	human feces_10756	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114935		PRJEB103715;PRJDB4176	human feces_10694	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114956		PRJEB98859;PRJDB4176	human feces_10760	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114957		PRJEB98859;PRJDB4176	human feces_10772	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114958		PRJEB98859;PRJDB4176	human feces_10774	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114960		PRJEB98859;PRJDB4176	human feces_10785	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114965		PRJEB103715;PRJDB4176	human feces_10829	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00115021		PRJEB103715;PRJDB4176	human feces_10047	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00115028		PRJEB103715;PRJDB4176	human feces_10074	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00115029		PRJEB103715;PRJDB4176	human feces_10067	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00115030		PRJEB98859;PRJDB4176	human feces_10081	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00115031		PRJEB98859;PRJDB4176	human feces_10091	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164695		PRJEB103715;PRJDB4176	human feces_10030	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164721		PRJEB98859;PRJDB4176	human feces_10237	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164745		PRJEB98859;PRJDB4176	human feces_10367	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164767		PRJEB103715;PRJDB4176	human feces_10565	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164776		PRJEB103715;PRJDB4176	human feces_10595	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164778		PRJEB98859;PRJDB4176	human feces_10596	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164779		PRJEB103715;PRJDB4176	human feces_10601	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164822		PRJEB103715;PRJDB4176	human feces_10888	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164831		PRJEB98859;PRJDB4176	human feces_10935	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114951		PRJEB103715;PRJDB4176	human feces_10723	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114952		PRJEB103715;PRJDB4176	human feces_10731	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00114972		PRJEB103715;PRJDB4176	human feces_10033	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00115010		PRJEB98859;PRJDB4176	human feces_10385	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00115011		PRJEB98859;PRJDB4176	human feces_10377	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-03	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164771		PRJEB103715;PRJDB4176	human feces_10579	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164780		PRJEB98859;PRJDB4176	human feces_10603	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164812		PRJEB98859;PRJDB4176	human feces_10819	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164826		PRJEB103715;PRJDB4176	human feces_10911	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
SAMD00164829		PRJEB103715;PRJDB4176	human feces_10931	Keywords: GSC:MIxS MIMS:6.0	2019-03-23	2022-04-04	Tokyo Institute of Technology	Japan				Homo sapiens	Homo sapiens	Generic sample from human gut metagenome	2014
